epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,903.217,0.71449,0.52228,0.84311,0.99708,0.9989,0.995,0.75849,0.90669,0.53561,0.90534,0.000511769,0.000511769,0.000511769
72,915.733,0.70914,0.50758,0.8395,0.99651,0.99988,0.995,0.74155,0.94246,0.53424,0.91742,0.000495266,0.000495266,0.000495266
73,928.648,0.72497,0.51587,0.83225,0.99587,1,0.995,0.74348,0.92612,0.53745,0.91188,0.000478762,0.000478762,0.000478762
74,941.172,0.72572,0.49964,0.85426,0.99577,1,0.995,0.75067,0.91341,0.52041,0.90767,0.000462259,0.000462259,0.000462259
75,954.141,0.73718,0.51325,0.8515,0.99573,1,0.995,0.75393,0.90893,0.50891,0.90843,0.000445756,0.000445756,0.000445756
76,967.084,0.72343,0.51088,0.85173,0.99697,1,0.995,0.75533,0.92522,0.52015,0.91972,0.000429253,0.000429253,0.000429253
77,979.946,0.70458,0.51741,0.83064,0.99747,1,0.995,0.75851,0.90805,0.51729,0.91419,0.000412749,0.000412749,0.000412749
78,992.238,0.69033,0.49784,0.8277,0.99696,1,0.995,0.76016,0.87952,0.50931,0.90074,0.000396246,0.000396246,0.000396246
79,1005.09,0.7133,0.49693,0.83309,0.99607,1,0.995,0.75842,0.87494,0.50071,0.89909,0.000379743,0.000379743,0.000379743
80,1017.77,0.713,0.49524,0.84595,0.99518,1,0.995,0.75688,0.90191,0.50949,0.9077,0.000363239,0.000363239,0.000363239
81,1030.19,0.69059,0.48032,0.83801,0.99471,0.99935,0.995,0.75562,0.89676,0.50434,0.90602,0.000346736,0.000346736,0.000346736
82,1043.3,0.69345,0.48634,0.83899,0.99268,0.99862,0.995,0.75927,0.8946,0.49476,0.90415,0.000330233,0.000330233,0.000330233
83,1055.84,0.67126,0.47957,0.83784,0.99298,0.99859,0.995,0.76314,0.88756,0.49081,0.9022,0.000313729,0.000313729,0.000313729
84,1068.47,0.69415,0.48938,0.8432,0.99504,0.99911,0.995,0.77091,0.8878,0.47916,0.90172,0.000297226,0.000297226,0.000297226
85,1080.92,0.65721,0.47486,0.8344,0.99496,0.99909,0.995,0.76879,0.88432,0.4722,0.89911,0.000280723,0.000280723,0.000280723
86,1093.34,0.66454,0.46671,0.83467,0.99503,0.99911,0.995,0.7618,0.87792,0.47424,0.89632,0.00026422,0.00026422,0.00026422
87,1105.79,0.67441,0.47203,0.8379,0.9948,0.9991,0.995,0.7636,0.8752,0.473,0.89388,0.000247716,0.000247716,0.000247716
88,1118.59,0.64667,0.45329,0.82092,0.99397,0.99902,0.995,0.76597,0.86758,0.47958,0.89146,0.000231213,0.000231213,0.000231213
89,1131.16,0.64398,0.4624,0.83601,0.99326,0.99898,0.995,0.76673,0.86802,0.47781,0.89473,0.00021471,0.00021471,0.00021471
90,1143.73,0.64324,0.45407,0.82574,0.99263,0.99897,0.995,0.77048,0.87583,0.4693,0.89786,0.000198206,0.000198206,0.000198206
91,1156.07,0.67846,0.51895,0.82565,0.99214,0.99893,0.995,0.76362,0.87948,0.46746,0.89766,0.000181703,0.000181703,0.000181703
92,1168.51,0.68932,0.53569,0.83035,0.99108,0.99879,0.995,0.76702,0.86928,0.4699,0.89211,0.0001652,0.0001652,0.0001652
93,1180.76,0.67539,0.51298,0.83005,0.99124,0.9987,0.995,0.76952,0.86903,0.47203,0.89123,0.000148696,0.000148696,0.000148696
94,1193.15,0.63266,0.50157,0.82919,0.99256,0.99862,0.995,0.7675,0.86793,0.4761,0.89054,0.000132193,0.000132193,0.000132193
95,1205.16,0.64072,0.49428,0.82725,0.99364,0.9986,0.995,0.76903,0.86786,0.47587,0.89117,0.00011569,0.00011569,0.00011569
96,1217.55,0.62929,0.49976,0.82516,0.99476,0.99868,0.995,0.76343,0.87568,0.47402,0.89636,9.91865e-05,9.91865e-05,9.91865e-05
97,1229.84,0.62357,0.48868,0.82991,0.99456,0.99876,0.995,0.76143,0.87817,0.47286,0.89793,8.26832e-05,8.26832e-05,8.26832e-05
98,1242.18,0.60521,0.48805,0.81152,0.9944,0.99882,0.995,0.76667,0.88065,0.47262,0.89935,6.61799e-05,6.61799e-05,6.61799e-05
99,1254.67,0.62639,0.47946,0.83079,0.99413,0.99882,0.995,0.76687,0.88049,0.46957,0.90029,4.96766e-05,4.96766e-05,4.96766e-05
100,1266.98,0.60265,0.47756,0.82042,0.99362,0.99878,0.995,0.76763,0.87574,0.46678,0.89903,3.31733e-05,3.31733e-05,3.31733e-05
